Table 1
S.No.,Gothram,House Name,,
,Eswaraka,Eepuru  varu,,
,,Eswaraka  varu ,,
,,Padala  varu,,
,,Nellipudi  varu,,
,,Maramreddy  varu,,
,,Sripathy Reddy  varu,,
,,Rama Reddy   varu,,
,,Papa Reddy  varu,,
,,Deva Reddy  varu,,
,,Parvatha Reddy  varu,,
,,Pocha Reddy  varu,,
,,Pethaa Reddy  varu,,
,Pallamaala ,Alluri varu,,
,,Mallupattu  varu,,
,,Bemma Reddy  varu,,
,,Rami Reddy  varu,,
,,Linga Reddy  varu,,
,,Chintham Reddy  varu,,
,,Basivi Reddy  varu,,
,Kalavakonda,Koduru  varu,,
,,Dhuvvuru  varu,,
,,Veguru  varu,,
,,Mulukuru  varu,,
,,Kappuvuru  varu,,
,Raajanapala,Linga Reddy  varu,,
,,Tanguturu  varu,,
,,Nagalapuram  varu,,
,,Gundala  varu,,
,Madhananthara,Vakati  varu,,
,,Petta  varu,,
,,Gengapuru  varu,,
,,Gendavaram  varu,,
,Ethurupala,Krishna Reddy  varu,,
,,Kattam Reddy  varu,,
,,Patharthi  varu,,
,Madamanuru,Nalla Reddy  varu,,
,,Cheepa Reddy  varu,,
,,Guduru  varu,,
,Govindapala,Sanna Reddy  varu,,
,,Dhuvvuru  varu ,,
,Reypala,Naga Reddy  varu,,
,,Thupelee Reddy  varu,,
,Thanyali,Chilakuru  varu,,
,,Dhupelee  varu,,
,Chimatapala,Gunda Reddy  varu,,
,,Sathukumata  varu,,
,Alathuru,Kotamaru  varu,,
,,Masi Reddy  varu,,
,Madhanabala,Kaaku  varu,,
,,Rapooru  varu,,
,Pallamalla,Sarva Reddy  varu,,
,,Pelluru  varu,,
,Kolleepala,Bairam Reddy  varu,,
,,Bandya Reddy  varu,,
,Ekkachakkara,Kaval Reddy  varu,,
,,Velavaya Reddy  varu,,
,Paluru,Pallam Reddy  varu,,
,,Varadha Reddy  varu,,
,Palasari,Kadivetti  varu,,
,,Nelavaya  varu,,
,Thirumuru,Kotta  varu,,
,,Guduru varu,,
,Chinthamani,Vema Reddy varu,,
,Kalakanthra,Bappa Reddy varu,,
,Kalathama,Kalakanthra mu  varu,,
,Ennumuru,Binna Reddy varu,,
,Vasanthapala,Kami Reddy varu,,
,Kuvvam,Nagati varu,,
,Palavalli,Sowjelli varu,,
,paripala,Oduru varu,,
,palakathali,Petta varu,,
,Seshapala,Uppuveluru varu,,
,Paalasali,Pappuveluru varu,,
,Kuchipala,Chenna Reddy varu,,
,Gurukundhapala,Veguru varu,,
,Bhujana pala,Polam Reddy varu,,
,Balamani,PullamReddy varu,,
,Kalemepalu,Mole Reddy varu,,
,Kesangala,Gundala varu,,
,Enabala,Kesa Reddy varu,,
,Kanapala,Ballam Reddy varu,,
,Sripala,Malla varu varu,,
,Yallasiri,Kami Reddy varu,,
,Palasesha,Jalathangi  varu,,
,Yanamanabala,Kesi Reddy varu,,
,Kajakandapala,Penumalleevari,,
,kotapala,Pelletti varu,,
,Vallaraju,Agasthiya Reddy varu,,
,Polipala,Dhuvvuru varu,,
